drug,condition,review,effect,rating
LISINOPRIL,HBP,"{""I am a 50 year old petite female, otherwise healthy, given Lisinopril to replace a low dose diuretic after several high BP office readings (I have white coat syndrome). I am very sensitive to meds. I've been dealing with transient mild anxiety for about a year due to menopause (helped by natural supplements). Within a few days of starting the small dose, the throat tickle and then occassional cough started. I felt tired and a bit dizzy at times, but that was expected. My numbers where fine or on the low side at home. By week 2, I began crying for no apparent reason within 2-3 hours of my morning dose. I didn't feel particularly sad/stressed about anything, but the tears would not stop. In addition, I had what I would describe as 'anxiety cycles'.... a burst of high anxiety for 20 mins or so, and then relatively calm for the same amount of time. This would last for 7 - 8 hours and finally let up in the evening, about 12 hours from the morning dose. Shivering also and generally feeling unwell. This continued to get worse by the day in week 3. I called my PCP and told her that I had to stop and go back on the diuretic. That was yesterday. Today, I went back on my low dose diuretic. NO crying, NO anxiety cycles! A bit tired and a dull headache on and off but otherwise I feel 'normal' for the first time in weeks. I will never take it again. If something similar occurs for you, please consider this medicine.""}","tickle in throat, cough (gagging at times), daily crying, anxiety that cycled for hours, shivers, general feeling of being unwell, sinus type headache",1
LISINOPRIL,Mild hypertension,"{'I was put on 20mg have a diuretic depleted my potassium.\nWithin 12 hours of first dose, I was lightheaded, dizzy and felt drunk. Next day BP was 92/66. I felt unsafe to even drive. Doctor lowered it to 10 mg. Continued to feel light headed while dealing with the worst headache. Felt a little better. BP ranged from normal to dangerously low. Last day of taking it and I felt light headed, dizzy and unfocused and my tongue was numb and swollen. Today is first day off of it and had a severe panic attack that sent me to ER. My tongue still feels funny. Still light headed. Telling doctor I will take a natural route to lose BPs now. Hope side effects don’t last too long.'}","Dizziness, fatigue, insomnia, anxiety, tongue swelling
Foggy mind, swollen ankles, nausea, diarrhea",1
LISINOPRIL,Congestive heart failure,{'Taken off drug by cardiologist and put on losartin instead. Still lisinopril effects in body after 2 days.'},"Excruciating leg pain, two trips to ER, constant dry cough, weakness and fatigue.",1
LISINOPRIL,High blood pressure,"{'I would never take this drug again , messed me up completely'}","Insomnia , anxiety, palpitations, uncomfortable stomach, runny nose",1
LISINOPRIL,High Blood pressure,"{'Blood pressure still high, I understand it can take a few days. Not sure if this is worth it.'}",Worst headache ever. Dizziness. Confusion. Lethargic. Weakness. Increased eye floaters.,1
LISINOPRIL,High blood pressure,{''},"Fast heart beats, sweating during sleep, nightmares, body aches, mild nausea, mild cough",1
LISINOPRIL,High Blood Pressure,"{'Been on Lisinopril for 5 years n only meds I’m on. Symptoms started 6 weeks ago. Been to Ent,PCP and ER visits. Waiting on neurologist. No diagnosis yet but I quit Lisinopril 10 days ago. Some Symptoms seem better but still lightheaded and some focus problems. Would someone please email me if they know how long before all symptoms go away. Thank you'}","Lightheaded, Brain fog, can’t focus, nausea headache, raised resting heart rate, fatigue",1
LISINOPRIL,high bp,"{'this drug may work for some folks, pay attention to how you feel. “they” will tell you to keep taking it and give it time...after 9 days of this stuff I quit...there are other meds out there that will work for you. this one is definitely not for me'}","anxiety, felt like a zombie, insomnia, extreme fatigue, legs and arms felt exhausted, achey, raised my resting heart rate, breathlessness, in general felt ill",1
LISINOPRIL,High blood pressure,{'Worst drug ever. In and out of hospital with Drs not knowing what is wrong. Had to give up working. Stopped 3 weeks ago. Still dealing with symptoms'},"Fatique, cough, headache, nausea, stomach pains, sweating, cannot sleep, dizzyness, passing out,, paralysis of arms and legs, brain fog, vision problems",1
LISINOPRIL,High bp,{'Think this BP medicine should be taken off the market. I walk daily now & BP is beautiful.'},Hard choking cough. Doctor thought cough was sinus problem. Developed electric shock pains in head& went to a neurologist who immediately told my MD to take me off Lisinopril. Still have the head pains that I’m being treated for. They also discovered scar tissue damage in my lungs.,1
LISINOPRIL,High blood pressure,{'I would Never take this again!\nPlease do your research before considering this drug.'},"Slow onset of weakness generalized
Anxiety, GI upset upper and lower,
Most of the previous ones you are reading here. Sudden onset of feeling hot all over. Heart palpitations, I am so angry I told my cardiologist all these issues and he just kept giving me more pills.",1
LISINOPRIL,High BP,{''},None,5
LISINOPRIL,HBP,"{""This is a dangerous drug. Was on about 14 days and symptoms kept getting worse - so I stopped - most symptoms went away in a day (still a little dizzy after 24 hours). I'll be finding a different doctor as well. I would HIGHLY ENCOURAGE EVERYONE who has a adverse reaction file an ADVERSE REACTION with FDA because more than likely some doctors will not which is a disservice to patients as well as dangerous and potentially deadly.""}","Profuse sweating, weak, lightheaded, felt faint, felt unstable when walking, extreme exhaustion",1
LISINOPRIL,,"{""I didn't realize how badly this drug was effecting me until I went to Costco one day. No less than 6 people offered to help me. As I was trying to take a check out of my checkbook even the cashier offered to assist me. I seems every time I went to start to do something my mind would wander off somewhere else. Tried to reduce the drug to 10 mg and even that dose started to do the same thing. I have to wonder how many older people end up in nursing homes from this drug never realizing it;s the drug causing reduced and slow mental functioning.""}",Mind wandered,1
LISINOPRIL,High Blood Pressure,{''},Similar to those listed on this site,1
LISINOPRIL,HBP,"{""I have been taking this drug for a few years without success. The higher dose I take, the higher my BP goes. I also have a problem of my BP going 30,40 even 50 points higher when I stand (not drug related) to which doctors just laugh at me. I have done my own research and found out that stsnding hypertension is a real thing, but not studied very much. My pressure can be 180/190 over 95/100 and back down to 140/80s after sitting 30 minutes or more...anybody else have this problem? Lisinopril has been a total joke for me. But dr's want me to take up to 40mg...no way. Can't understand why these dr's don't listen to patients and think we don't know what we are feeling. In all fairness, I don't tolerate medications well at all and they have opposite effects on me.""}",Out of control blood pressure.,1
LISINOPRIL,hbp,"{""Even cutting the pill in half didn't reduce the side effects enough. I gave it a 2 only because it did lower my bp. Wanted to let people know that I found a plant-based supplement called Carditone on Amazon (go there to read glowing reviews). My blood pressure is now\nalways around 120/66 and my pulse is around 64 because it controls that too. I take 1 and a half per day. My doctor couldn't argue with the\nresults. The only side effect I've had is intermittent stuffy nose.""}","nausea, leg and foot cramps, dry skin and hair, hair loss, scratchy throat and cough",2
LISINOPRIL,high blood pressure,{'Works very well to control my high blood pressure. Mine pill is combined with a diuretic. I do drink only water (no soda or tea or coffee).'},"Initially had hot flashes while getting on this medication. Those lasted about 2 weeks. Sometimes I have leg and foot cramps. I eat 3 dried apricots per day to increase my potassium and that prevents the cramping. My blood work never shows low levels of potassium, because I eat the apricots! No other side effects.",5
